Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
1976-10-21,387.92,387.92,387.92,387.92,nan
1976-10-22,400.25,400.25,400.25,400.25,nan
1976-10-25,396.44,396.44,396.44,396.44,nan
1976-10-26,392.51,392.51,392.51,392.51,nan
1976-10-27,391.12,391.12,391.12,391.12,nan
1976-10-28,392.48,392.48,392.48,392.48,nan
1976-10-29,389.73,389.73,389.73,389.73,nan
1976-11-02,392.74,392.74,392.74,392.74,nan
1976-11-03,390.68,390.68,390.68,390.68,nan
1976-11-04,394.52,394.52,394.52,394.52,nan
1976-11-05,401.04,401.04,401.04,401.04,nan
1976-11-08,398.61,398.61,398.61,398.61,nan
1976-11-09,394.95,394.95,394.95,394.95,nan
1976-11-10,397.74,397.74,397.74,397.74,nan
1976-11-11,395.82,395.82,395.82,395.82,nan
1976-11-12,394.27,394.27,394.27,394.27,nan
1976-11-15,387.56,387.56,387.56,387.56,nan
1976-11-16,385.47,385.47,385.47,385.47,nan
1976-11-17,385.96,385.96,385.96,385.96,nan
1976-11-18,388.62,388.62,388.62,388.62,nan
1976-11-19,390.8,390.8,390.8,390.8,nan
1976-11-22,388.71,388.71,388.71,388.71,nan
1976-11-23,387.14,387.14,387.14,387.14,nan
1976-11-24,385.63,385.63,385.63,385.63,nan
1976-11-25,386.83,386.83,386.83,386.83,nan
1976-11-26,389.5,389.5,389.5,389.5,nan
1976-11-29,400.95,400.95,400.95,400.95,nan
1976-11-30,400.77,400.77,400.77,400.77,nan
